Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Valuation (Cleaned),Employees,Top Investors,Product,G2 Rating,ARR_Numeric,Valuation_Numeric,Funding_Numeric,Employees_Numeric,Revenue_per_Employee
Calendly,2013,"Atlanta, GA, USA",Scheduling,$350.6M,$100M,$3B,"$3,000,000,000",700,"OpenView, ICONIQ",Scheduling Platform,4.7,100000000.0,3000000000.0,350600000.0,700.0,"$142,857"
Intercom,2011,"San Francisco, CA, USA",Customer Messaging,$240.7M,$200M,$1.3B,"$1,300,000,000",800,"Kleiner Perkins, Bessemer",Customer Messaging Platform,4.4,200000000.0,1300000000.0,240700000.0,800.0,"$250,000"
Segment,2012,"San Francisco, CA, USA",Customer Data,$284M,$200M,$3.2B (Twilio),"$3,200,000,000",600,"Accel, GV, Kleiner Perkins",Customer Data Platform,4.5,200000000.0,3200000000.0,284000000.0,600.0,"$333,333"
Auth0,2013,"Bellevue, WA, USA",Identity,$330M,$200M,$6.5B (Okta),"$6,500,000,000",850,"Bessemer, Sapphire",Identity Platform,4.4,200000000.0,6500000000.0,330000000.0,850.0,"$235,294"
Looker,2012,"Santa Cruz, CA, USA",Business Intelligence,$281.5M,$150M,$2.6B (Google),"$2,600,000,000",800,"CapitalG, Kleiner Perkins",Data Platform,4.4,150000000.0,2600000000.0,281500000.0,800.0,"$187,500"
Amplitude,2012,"San Francisco, CA, USA",Product Analytics,$336M,$233M,$4B,"$4,000,000,000",700,"Sequoia, IVP, Battery",Product Analytics Platform,4.5,233000000.0,4000000000.0,336000000.0,700.0,"$332,857"
Mixpanel,2009,"San Francisco, CA, USA",Product Analytics,$77M,$100M,$1.05B,"$1,050,000,000",300,"Andreessen Horowitz, Sequoia",Product Analytics,4.4,100000000.0,1050000000.0,77000000.0,300.0,"$333,333"
Sumo Logic,2010,"Redwood City, CA, USA",Log Management,$235M,$299M,$2.3B,"$2,300,000,000",750,"Accel, DFJ, Greylock",Cloud Log Management,4.2,299000000.0,2300000000.0,235000000.0,750.0,"$398,667"
Zscaler,2008,"San Jose, CA, USA",Cloud Security,$148M,$1.6B,$30B,"$30,000,000,000",5000,"TPG, Lightspeed",Cloud Security Platform,4.4,1600000000.0,30000000000.0,148000000.0,5000.0,"$320,000"
CrowdStrike,2011,"Austin, TX, USA",Cybersecurity,$481M,$3.1B,$70B,"$70,000,000,000",7900,"Warburg Pincus, Accel",Endpoint Security Platform,4.7,3100000000.0,70000000000.0,481000000.0,7900.0,"$392,405"
Palo Alto Networks,2005,"Santa Clara, CA, USA",Cybersecurity,$66.3M,$7.5B,$95B,"$95,000,000,000",13300,"Sequoia, Greylock",Security Platform,4.5,7500000000.0,95000000000.0,66300000.0,13300.0,"$563,910"
RingCentral,2003,"Belmont, CA, USA",Communications,$44M,$2.2B,$5B,"$5,000,000,000",3600,"Sequoia, Khosla, Scale",Cloud Communications,4.2,2200000000.0,5000000000.0,44000000.0,3600.0,"$611,111"
Five9,2001,"San Ramon, CA, USA",Contact Center,$242M,$787M,$8B,"$8,000,000,000",2800,"Adams Street, Partech",Contact Center Platform,4.3,787000000.0,8000000000.0,242000000.0,2800.0,"$281,071"
Veeva Systems,2007,"Pleasanton, CA, USA",Life Sciences,$7M,$2.4B,$35B,"$35,000,000,000",5600,Emergence Capital,Life Sciences Cloud,4.3,2400000000.0,35000000000.0,7000000.0,5600.0,"$428,571"
Coupa,2006,"San Mateo, CA, USA",Spend Management,$169.5M,$725M,$8B (Thoma Bravo),"$8,000,000,000",3200,"Battery, Crosslink",Business Spend Management,4.3,725000000.0,8000000000.0,169500000.0,3200.0,"$226,562"
Bill.com,2006,"San Jose, CA, USA",Financial Operations,$402.7M,$900M,$9B,"$9,000,000,000",2500,"Bank of America, TPG",Financial Operations Platform,4.3,900000000.0,9000000000.0,402700000.0,2500.0,"$360,000"
Zoom Info,2007,"Vancouver, WA, USA",Sales Intelligence,$241.7M,$1.1B,$12B,"$12,000,000,000",3500,"TA Associates, Carlyle",Go-to-Market Platform,4.4,1100000000.0,12000000000.0,241700000.0,3500.0,"$314,286"
Smartsheet,2005,"Bellevue, WA, USA",Work Management,$120.8M,$880M,$8.4B (Vista/Blackstone),"$8,400,000,000",3200,"Insight Partners, Madrona",Work Management Platform,4.4,880000000.0,8400000000.0,120800000.0,3200.0,"$275,000"
Qualtrics,2002,"Provo, UT, USA",Experience Management,$400M,$1.5B,$12.5B (Silver Lake),"$12,500,000,000",5300,"Sequoia, Accel, Insight",Experience Management Platform,4.4,1500000000.0,12500000000.0,400000000.0,5300.0,"$283,019"
Wix,2006,"Tel Aviv, Israel",Website Building,$59M,$1.6B,$10B,"$10,000,000,000",5500,"Benchmark, Bessemer",Website Builder Platform,4.2,1600000000.0,10000000000.0,59000000.0,5500.0,"$290,909"
Toast,2011,"Boston, MA, USA",Restaurant Tech,$902M,$3.9B,$20B,"$20,000,000,000",4500,"TCV, Tiger Global",Restaurant Management Platform,4.3,3900000000.0,20000000000.0,902000000.0,4500.0,"$866,667"
Gong,2015,"San Francisco, CA, USA",Revenue Intelligence,$584M,$250M,$7.3B,"$7,300,000,000",1300,"Sequoia, Coatue, Thrive",Revenue Intelligence Platform,4.7,250000000.0,7300000000.0,584000000.0,1300.0,"$192,308"
Outreach,2014,"Seattle, WA, USA",Sales Engagement,$489M,$200M,$4.4B,"$4,400,000,000",1000,"Lone Pine, Meritech, Spark",Sales Engagement Platform,4.3,200000000.0,4400000000.0,489000000.0,1000.0,"$200,000"
Salesloft,2011,"Atlanta, GA, USA",Sales Engagement,$245M,$200M,$2.3B,"$2,300,000,000",900,"Insight Partners, HarbourVest",Sales Engagement Platform,4.4,200000000.0,2300000000.0,245000000.0,900.0,"$222,222"
Braze,2011,"New York, NY, USA",Customer Engagement,$175M,$420M,$5.6B,"$5,600,000,000",1300,"Spark Capital, NEA",Customer Engagement Platform,4.5,420000000.0,5600000000.0,175000000.0,1300.0,"$323,077"
LaunchDarkly,2014,"Oakland, CA, USA",Feature Management,$330M,$100M,$3B,"$3,000,000,000",350,"Bessemer, Redpoint",Feature Management Platform,4.7,100000000.0,3000000000.0,330000000.0,350.0,"$285,714"
Gusto,2011,"San Francisco, CA, USA",HR & Payroll,$516M,$500M,$9.5B,"$9,500,000,000",2500,"General Catalyst, CapitalG",HR & Payroll Platform,4.5,500000000.0,9500000000.0,516000000.0,2500.0,"$200,000"
Rippling,2016,"San Francisco, CA, USA",HR & IT,$1.2B,$350M,$13.5B,"$13,500,000,000",2000,"Founders Fund, Greenoaks",Employee Management Platform,4.8,350000000.0,13500000000.0,1200000000.0,2000.0,"$175,000"
Carta,2012,"San Francisco, CA, USA",Equity Management,$1.1B,$300M,$7.4B,"$7,400,000,000",1600,"Andreessen Horowitz, Lightspeed",Equity Management Platform,4.4,300000000.0,7400000000.0,1100000000.0,1600.0,"$187,500"
Plaid,2013,"San Francisco, CA, USA",Financial APIs,$734M,$400M,$13.4B,"$13,400,000,000",800,"NEA, Spark Capital",Financial Data Platform,4.5,400000000.0,13400000000.0,734000000.0,800.0,"$500,000"
Marqeta,2010,"Oakland, CA, USA",Card Issuing,$528M,$717M,$4.3B,"$4,300,000,000",900,"ICONIQ, Goldman Sachs",Card Issuing Platform,4.3,717000000.0,4300000000.0,528000000.0,900.0,"$796,667"
Affirm,2012,"San Francisco, CA, USA",BNPL,$1.5B,$1.6B,$12B,"$12,000,000,000",2500,"Founders Fund, Lightspeed",Buy Now Pay Later Platform,4.1,1600000000.0,12000000000.0,1500000000.0,2500.0,"$640,000"
Ramp,2019,"New York, NY, USA",Expense Management,$1.2B,$300M,$8.1B,"$8,100,000,000",500,"Thrive Capital, Founders Fund",Finance Platform,4.8,300000000.0,8100000000.0,1200000000.0,500.0,"$600,000"
Brex,2017,"San Francisco, CA, USA",Corporate Cards,$1.5B,$400M,$12.3B,"$12,300,000,000",1100,"DST Global, Ribbit Capital",Financial Platform,4.6,400000000.0,12300000000.0,1500000000.0,1100.0,"$363,636"
Navan,2015,"Palo Alto, CA, USA",Travel & Expense,$1.5B,$400M,$9.2B,"$9,200,000,000",2500,"Andreessen Horowitz, Addition",Travel & Expense Platform,4.7,400000000.0,9200000000.0,1500000000.0,2500.0,"$160,000"
Benchling,2012,"San Francisco, CA, USA",Life Sciences R&D,$425M,$100M,$6.1B,"$6,100,000,000",600,"Altimeter, Lux Capital",Life Sciences R&D Platform,4.6,100000000.0,6100000000.0,425000000.0,600.0,"$166,667"
Celonis,2011,"Munich, Germany",Process Mining,$1.4B,$600M,$13B,"$13,000,000,000",3000,"Arena Holdings, Durable Capital",Process Mining Platform,4.5,600000000.0,13000000000.0,1400000000.0,3000.0,"$200,000"
Redis,2011,"Mountain View, CA, USA",Database,$347M,$100M,$2B,"$2,000,000,000",800,"Tiger Global, Softbank",In-Memory Database,4.5,100000000.0,2000000000.0,347000000.0,800.0,"$125,000"
Algolia,2012,"San Francisco, CA, USA",Search & Discovery,$334M,$100M,$2.3B,"$2,300,000,000",700,"Accel, Salesforce Ventures",Search & Discovery API,4.6,100000000.0,2300000000.0,334000000.0,700.0,"$142,857"
Samsara,2015,"San Francisco, CA, USA",IoT,$930M,$856M,$12B,"$12,000,000,000",2100,"Andreessen Horowitz, Tiger",Connected Operations Platform,4.4,856000000.0,12000000000.0,930000000.0,2100.0,"$407,619"
Verkada,2016,"San Mateo, CA, USA",Physical Security,$460M,$400M,$3.2B,"$3,200,000,000",1600,"Sequoia, Felicis",Cloud Security Platform,4.7,400000000.0,3200000000.0,460000000.0,1600.0,"$250,000"
JFrog,2008,"Sunnyvale, CA, USA",DevOps,$228.5M,$265M,$5.7B,"$5,700,000,000",1000,"Insight Partners, Qumra",DevOps Platform,4.4,265000000.0,5700000000.0,228500000.0,1000.0,"$265,000"
Netskope,2012,"Santa Clara, CA, USA",Cloud Security,$1.4B,$500M,$7.5B,"$7,500,000,000",2500,"Sequoia, Lightspeed",SASE Platform,4.6,500000000.0,7500000000.0,1400000000.0,2500.0,"$200,000"
OneTrust,2016,"Atlanta, GA, USA",Privacy & Security,$920M,$500M,$5.3B,"$5,300,000,000",2500,"Generation IM, Insight",Trust Intelligence Platform,4.3,500000000.0,5300000000.0,920000000.0,2500.0,"$200,000"
Tanium,2007,"Kirkland, WA, USA",Endpoint Management,$1B,$500M,$9.5B,"$9,500,000,000",2000,"Andreessen Horowitz, IVP",Endpoint Management Platform,4.2,500000000.0,9500000000.0,1000000000.0,2000.0,"$250,000"
Rubrik,2014,"Palo Alto, CA, USA",Data Security,$750M,$600M,$6B,"$6,000,000,000",2600,"Lightspeed, Greylock",Zero Trust Data Security,4.6,600000000.0,6000000000.0,750000000.0,2600.0,"$230,769"
AppDynamics,2008,"San Francisco, CA, USA",APM,$315M,$600M,$3.7B (Cisco),"$3,700,000,000",2000,"Lightspeed, Greylock",Application Performance Monitoring,4.3,600000000.0,3700000000.0,315000000.0,2000.0,"$300,000"
Snyk,2015,"Boston, MA, USA",Developer Security,$1.4B,$200M,$7.4B,"$7,400,000,000",1300,"Tiger Global, Accel",Developer Security Platform,4.5,200000000.0,7400000000.0,1400000000.0,1300.0,"$153,846"
CircleCI,2011,"San Francisco, CA, USA",CI/CD,$315M,$100M,$1.7B,"$1,700,000,000",500,"IVP, DFJ Growth",CI/CD Platform,4.4,100000000.0,1700000000.0,315000000.0,500.0,"$200,000"
ServiceTitan,2012,"Glendale, CA, USA",Field Service,$1.5B,$685M,$9.5B,"$9,500,000,000",2700,"Tiger Global, Sequoia",Field Service Management,4.2,685000000.0,9500000000.0,1500000000.0,2700.0,"$253,704"
Procore,2002,"Carpinteria, CA, USA",Construction,$899M,$943M,$9B,"$9,000,000,000",3200,"Bessemer, Tiger Global",Construction Management Platform,4.5,943000000.0,9000000000.0,899000000.0,3200.0,"$294,688"
Automattic,2005,"San Francisco, CA, USA",Web Publishing,$987M,$400M,$7.5B,"$7,500,000,000",2000,"Salesforce Ventures, Insight","WordPress.com, WooCommerce",4.4,400000000.0,7500000000.0,987000000.0,2000.0,"$200,000"
Vimeo,2004,"New York, NY, USA",Video Platform,$450M,$433M,$1.5B,"$1,500,000,000",1200,"Thrive Capital, IAC",Video Platform,4.2,433000000.0,1500000000.0,450000000.0,1200.0,"$360,833"
